,Topic_1
Term_1,000
Term_2,000 articles
Term_3,000 articles bibliometric
Term_4,000 hits
Term_5,000 hits better
Term_6,02
Term_7,10
Term_8,10 1995
Term_9,10 25
Term_10,10 25 highly
Term_11,10 citation
Term_12,10 citation classics
Term_13,10 countries
Term_14,10 european
Term_15,10 european countries
Term_16,10 layers
Term_17,10 layers frequently
Term_18,10 science
Term_19,10 science intensive
Term_20,10 year
Term_21,10 year period
Term_22,10 years
Term_23,100
Term_24,100 countries
Term_25,100 countries 1981
Term_26,100 institutions
Term_27,100 institutions india
Term_28,100 largest
Term_29,100 largest european
Term_30,100 prolific
Term_31,100 prolific economists
Term_32,100 revisited
Term_33,100 united
Term_34,100 united states
Term_35,1000ad
Term_36,1000ad 1870ad
Term_37,101
Term_38,107
Term_39,107 countries
Term_40,107 countries 1978
Term_41,108
Term_42,108 author
Term_43,108 author level
Term_44,11
Term_45,11 15
Term_46,11 15 1993
Term_47,11 1990
Term_48,11 1995
Term_49,11 299
Term_50,11 299 articles
Term_51,110
Term_52,110 years
Term_53,110 years australian
Term_54,1111
Term_55,1111 2008
Term_56,12
Term_57,12 books
Term_58,12 journals
Term_59,12 years
Term_60,12 years 1989
Term_61,12 years scientometric
Term_62,121
Term_63,121 2000
Term_64,122
Term_65,122 2011
Term_66,123
Term_67,123 scholarly
Term_68,123 scholarly conference
Term_69,13
Term_70,13 american
Term_71,13 american psychological
Term_72,13 european
Term_73,13 european countries
Term_74,1330
Term_75,1330 2013
Term_76,137
Term_77,137 2003
Term_78,1392
Term_79,1392 2007
Term_80,14
Term_81,14 mirrored
Term_82,14 mirrored asteroid
Term_83,14 selected
Term_84,14 selected food
Term_85,140
Term_86,140 2005
Term_87,1433
Term_88,1433 2008
Term_89,147
Term_90,147 chemistry
Term_91,147 chemistry research
Term_92,15
Term_93,15 1993
Term_94,15 1993 berlin
Term_95,15 member
Term_96,15 member countries
Term_97,1500
Term_98,1500 1900
Term_99,1500 1903
Term_100,1500 1903 ad
Term_101,1548
Term_102,1548 1929
Term_103,157
Term_104,157 journals
Term_105,16
Term_106,16 countries
Term_107,160
Term_108,160 000
Term_109,160 000 articles
Term_110,1637
Term_111,1637 2011
Term_112,168
Term_113,168 taiwan
Term_114,168 taiwan universities
Term_115,169
Term_116,169 british
Term_117,169 british canadian
Term_118,17
Term_119,17 author
Term_120,17 author level
Term_121,17 july
Term_122,17 july 2001
Term_123,17 type
Term_124,17 type variants
Term_125,1736
Term_126,1736 1783
Term_127,1736 1783 adrian
Term_128,1782
Term_129,1782 1848
Term_130,1782 1848 pioneers
Term_131,1783
Term_132,1783 adrian
Term_133,1783 adrian balbi
Term_134,1794
Term_135,1794 comment
Term_136,1794 comment bibliometry
Term_137,1799
Term_138,1799 1830
Term_139,18
Term_140,18 disciplinary
Term_141,18 disciplinary areas
Term_142,18 disciplines
Term_143,18 disciplines 12
Term_144,1800
Term_145,1800 1900
Term_146,1800 1900 quantitative
Term_147,1800 1950
Term_148,1800 1995
Term_149,1800 bibliometric
Term_150,1800 bibliometric point
Term_151,1829
Term_152,1829 2008
Term_153,1830
Term_154,1841
Term_155,1841 2008
Term_156,1848
Term_157,1848 2009
Term_158,1848 pioneers
Term_159,1848 pioneers biblio
Term_160,1868
Term_161,1868 2008
Term_162,1868 2008 bibliometric
Term_163,1870ad
Term_164,1876
Term_165,1876 1976
Term_166,1876 1976 historical
Term_167,1880
Term_168,1880 1945
Term_169,1883
Term_170,1883 1885
Term_171,1883 1885 references
Term_172,1884
Term_173,1884 1968
Term_174,1885
Term_175,1885 references
Term_176,1885 references recent
Term_177,1890
Term_178,1890 2012
Term_179,18th
Term_180,18th 19th
Term_181,18th 19th centuries
Term_182,1900
Term_183,1900 1930
Term_184,1900 1930 pyenson
Term_185,1900 1945
Term_186,1900 1950
Term_187,1900 1950 substantiating
Term_188,1900 1973
Term_189,1900 1980
Term_190,1900 2004
Term_191,1900 2007
Term_192,1900 2010
Term_193,1900 quantitative
Term_194,1900 quantitative outline
Term_195,1901
Term_196,1901 1991
Term_197,1901 2001
Term_198,1901 2007
Term_199,1901 2012
Term_200,1901 2012 bibliometric
Term_201,1903
Term_202,1903 1985
Term_203,1903 ad
Term_204,1905
Term_205,1905 1975
Term_206,1907
Term_207,1907 1926
Term_208,1910
Term_209,1910 1985
Term_210,1910 1997
Term_211,1910 2003
Term_212,1910 2003 obituary
Term_213,1913
Term_214,1913 1996
Term_215,1913 1996 eyes
Term_216,1916
Term_217,1916 2013
Term_218,1920
Term_219,1920 1929
Term_220,1921
Term_221,1921 1995
Term_222,1921 2014
Term_223,1922
Term_224,1922 1983
Term_225,1922 1983 september
Term_226,1922 1983 social
Term_227,1924
Term_228,1924 1996
Term_229,1924 1996 polymath
Term_230,1924 2012
Term_231,1926
Term_232,1929
Term_233,1929 1989
Term_234,1929 1989 obituary
Term_235,1930
Term_236,1930 pyenson
Term_237,1935
Term_238,1935 1965
Term_239,1935 1965 bibliometric
Term_240,1936
Term_241,1936 1986
Term_242,1937
Term_243,1937 2002
Term_244,1937 2002 obituary
Term_245,1938
Term_246,1938 1987
Term_247,1944
Term_248,1944 1965
Term_249,1944 1965 zoology
Term_250,1945
Term_251,1945 2012
Term_252,1947
Term_253,1947 1979
Term_254,1948
Term_255,1948 2011
Term_256,1949
Term_257,1949 2010
Term_258,1950
Term_259,1950 1987
Term_260,1950 1987 terms
Term_261,1950 2010
Term_262,1950 2012
Term_263,1950 2014
Term_264,1950 economists
Term_265,1950 substantiating
Term_266,1950 substantiating claims
Term_267,1951
Term_268,1951 1977
Term_269,1951 1977 weber
Term_270,1951 2010
Term_271,1952
Term_272,1952 2002
Term_273,1953
Term_274,1953 watson
Term_275,1953 watson crick
Term_276,1954
Term_277,1954 1982
Term_278,1959
Term_279,1959 2011
Term_280,1960
Term_281,1960 2004
Term_282,1960 2010
Term_283,1961
Term_284,1961 2010
Term_285,1961 2010 bibliometric
Term_286,1961 2011
Term_287,1962
Term_288,1962 1974
Term_289,1962 1977
Term_290,1963
Term_291,1963 1976
Term_292,1964
Term_293,1964 1987
Term_294,1965
Term_295,1965 1979
Term_296,1965 2005
Term_297,1965 2005 content
Term_298,1965 2005 term
Term_299,1965 2015
Term_300,1965 bibliometric
Term_301,1965 bibliometric historiographic
Term_302,1965 zoology
Term_303,1965 zoology karachi
Term_304,1966
Term_305,1966 1983
Term_306,1966 1999
Term_307,1966 2005
Term_308,1966 84
Term_309,1967
Term_310,1967 2002
Term_311,1967 2006
Term_312,1968
Term_313,1968 1983
Term_314,1968 2008
Term_315,1968 2014
Term_316,1969
Term_317,1970
Term_318,1970 1979
Term_319,1970 1979 quantitative
Term_320,1970 1984
Term_321,1970 1984 application
Term_322,1970 1991
Term_323,1970 1994
Term_324,1970 1999
Term_325,1970 2003
Term_326,1970 2003 bibliographic
Term_327,1970 2005
Term_328,1970 2005 trends
Term_329,1970 2010
Term_330,1970s
Term_331,1970s 2010
