EID,Title,Authors,Year,DOI,Abstract
2-s2.0-85188919271,Protocol for predicting multivariate change of brain patterns using model-informed fMRI activations,"Leon Möhring, Jan Gläscher",2024,10.1016/j.xpro.2024.102978,
2-s2.0-85188010433,Protocol for two models of behavioral transition from action to no-action when facing prolonged uncontrollable experience in mice,"Chaoqun Li, Ying Zhang, Tianping Sun, Nashat Abumaria",2024,10.1016/j.xpro.2024.102967,
2-s2.0-85186491157,Effects of explaining a science lesson to others or to oneself: A cognitive neuroscience approach,"Wanling Zhu, Fuxing Wang, Richard E. Mayer, Tao Liu",2024,10.1016/j.learninstruc.2024.101897,
2-s2.0-85182460388,Number Line Estimation Tasks: a Mathematics Education Perspective at a Task Type Prominent in the Cognitive Neurosciences Number line estimation tasks: Ein fachdidaktischer Blick auf einen in den kognitiven Neurowissenschaften prominenten Aufgabentyp,Michael Gaidoschik,2024,10.1007/s13138-023-00229-x,
2-s2.0-85180107034,PerPsych: An iPadOS-based open-source neuropsychological software for time perception assessment,"Arman Gorji, Ali Fathi Jouzdani",2024,10.1016/j.mex.2023.102504,
2-s2.0-85187775486,"Corrigendum to “The role of posterior parietal cortex and medial prefrontal cortex in distraction and mind-wandering” [Neuropsychologia 188 (2023) 108639] (Neuropsychologia (2023) 188, (S0028393223001732), (10.1016/j.neuropsychologia.2023.108639))","Giacometti Giordani L, Crisafulli A, Cantarella G, Avenanti A, Ciaramelli E",2024,10.1016/j.neuropsychologia.2024.108851,
2-s2.0-85188916070,Studying the social mind: An updated summary of findings from the Vietnam Head Injury Study,"Irene Cristofori, Shira Cohen-Zimerman, Frank Krueger, Roxana Jabbarinejad, Ekaterina Delikishkina, Barry Gordon, Pierre Aurélien Beuriat, Jordan Grafman",2024,10.1016/j.cortex.2024.03.002,
2-s2.0-85188054502,The neurocomputational signature of decision-making for unfair offers in females under acute psychological stress,"Guangya Wang, Jun Tang, Zhouqian Yin, Siyu Yu, Xindi Shi, Xiurong Hao, Zhudele Zhao, Yafeng Pan, Shijia Li",2024,10.1016/j.ynstr.2024.100622,
2-s2.0-85187961000,Updating functional brain units: Insights far beyond Luria,"Jordi Peña-Casanova, Gonzalo Sánchez-Benavides, Jorge Sigg-Alonso",2024,10.1016/j.cortex.2024.02.004,
2-s2.0-85184046258,Unveiling the secrets of online consumer choice: A deep learning algorithmic approach to evaluate and predict purchase decisions through EEG responses,"Yiran Li, Qihua Liu, Jia Wu",2024,10.1016/j.ipm.2024.103671,
2-s2.0-85188968919,Neurophysiological effective network connectivity supports a threshold-dependent management of dynamic working memory gating,"Julia Elmers, Shijing Yu, Nasibeh Talebi, Astrid Prochnow, Christian Beste",2024,10.1016/j.isci.2024.109521,
2-s2.0-85188470846,Prior knowledge biases the visual memory of body postures,"Qiu Han, Marco Gandolfo, Marius V. Peelen",2024,10.1016/j.isci.2024.109475,
2-s2.0-85188007942,Sleep-dependent engram reactivation during hippocampal memory consolidation associated with subregion-specific biosynthetic changes,"Lijing Wang, Lauren Park, Weisheng Wu, Dana King, Alexis Vega-Medina, Frank Raven, Jessy Martinez, Amy Ensing, Katherine McDonald, Zhongying Yang, Sha Jiang, Sara J. Aton",2024,10.1016/j.isci.2024.109408,
2-s2.0-85188003028,Topological structure of population activity in mouse visual cortex encodes densely sampled stimulus rotations,"Kosio Beshkov, Marianne Fyhn, Torkel Hafting, Gaute T. Einevoll",2024,10.1016/j.isci.2024.109370,
2-s2.0-85187946574,Attention affects the perception of self-motion direction from optic flow,"Qi Sun, Lin Zhe Zhan, Fan Huan You, Xiao Fei Dong",2024,10.1016/j.isci.2024.109373,
2-s2.0-85187002553,ECoG activity distribution patterns detects global cortical responses following weak tactile inputs,"Astrid Mellbin, Udaya Rongala, Henrik Jörntell, Fredrik Bengtsson",2024,10.1016/j.isci.2024.109338,
