id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	australia	-0.0597	-0.3613	2	29	84	44	408	70.2489	2021.3864	9.2727	1.5966
2	austria	-0.372	-0.1298	1	26	58	12	77	13.743	2021.6667	6.4167	1.1453
3	belgium	-0.2364	0.3763	5	27	66	19	97	27.0298	2022.1579	5.1053	1.4226
4	brazil	-0.478	-0.1247	1	26	49	8	117	17.5118	2021.125	14.625	2.189
5	canada	0.7877	-0.146	3	30	130	80	775	129.1137	2021.55	9.6875	1.6139
9	czech republic	2.0339	-0.3127	3	2	2	5	10	1.6781	2020.6	2	0.3356
10	denmark	-0.2879	0.1871	1	27	63	14	150	35.0733	2021.8571	10.7143	2.5052
12	england	-0.0348	0.4217	4	29	151	75	894	116.463	2021.4533	11.92	1.5528
15	finland	0.7157	0.1426	3	9	14	8	42	4.7998	2021.375	5.25	0.6
16	france	-0.1149	-0.0144	1	28	86	32	328	46.723	2021.5312	10.25	1.4601
17	germany	0.1751	0.3448	4	30	167	107	859	126.6505	2021.6075	8.028	1.1836
18	greece	0.1704	1.0154	5	6	12	13	41	8.1048	2022	3.1538	0.6234
19	hungary	-1.911	-0.2417	6	1	1	5	2	0.199	2021.4	0.4	0.0398
20	india	0.9649	-1.0388	7	4	11	16	61	7.8884	2021.6875	3.8125	0.493
21	iran	-0.1478	-0.5375	2	21	47	21	189	39.0498	2021.8095	9	1.8595
24	israel	-0.3603	-0.4476	2	21	25	11	124	21.2054	2021.3636	11.2727	1.9278
25	italy	-0.0587	0.1659	1	29	99	52	384	68.5266	2021.5192	7.3846	1.3178
26	japan	0.3499	0.0856	3	24	47	39	281	31.5986	2021.4359	7.2051	0.8102
30	mexico	-0.397	0.1654	1	22	22	6	27	3.5903	2021.1667	4.5	0.5984
31	netherlands	0.0637	0.4599	4	29	137	57	652	87.3305	2021.4386	11.4386	1.5321
32	new zealand	-0.4985	-0.4577	2	20	28	8	373	31.7463	2020.625	46.625	3.9683
34	norway	-0.4835	0.2739	1	21	30	6	119	11.7752	2021	19.8333	1.9625
36	peoples r china	0.5067	-0.2187	7	32	154	176	1076	181.4419	2021.7898	6.1136	1.0309
37	poland	-0.4969	-0.0158	1	26	53	5	74	8.9323	2021.4	14.8	1.7865
38	portugal	-0.6039	-0.3912	2	20	32	18	101	22.1193	2022	5.6111	1.2289
40	russia	0.0149	0.1043	1	23	32	15	36	5.0465	2021.6667	2.4	0.3364
42	scotland	0.6344	1.308	4	5	12	9	84	12.5697	2021.5556	9.3333	1.3966
43	singapore	0.29	-0.3634	2	13	15	5	80	15.0365	2021	16	3.0073
46	south korea	1.4476	-0.0448	3	7	23	26	226	30.7213	2021.5	8.6923	1.1816
47	spain	0.0066	-0.5324	2	23	55	22	168	27.7749	2021.2727	7.6364	1.2625
48	sweden	-0.5748	0.2662	1	21	38	9	95	8.4884	2021.1111	10.5556	0.9432
49	switzerland	-1.1801	-0.147	6	27	105	39	356	50.5362	2021.3077	9.1282	1.2958
50	taiwan	-0.0964	-0.1733	2	28	53	12	55	17.7178	2022	4.5833	1.4765
56	usa	0.6311	-0.0132	3	33	336	506	3854	540.4577	2021.5257	7.6166	1.0681
57	wales	-0.3999	0.3947	1	21	29	5	36	3.6412	2020.6	7.2	0.7282
