source	target	strength
3	5	3
3	7	1
3	16	4
3	17	1
3	18	2
3	19	10
3	28	3
3	29	1
3	30	1
3	31	1
3	32	1
3	36	6
3	47	4
3	50	1
3	55	10
4	12	1
4	16	2
4	18	1
4	19	5
4	28	1
4	47	1
4	50	1
4	55	4
5	7	1
5	12	1
5	16	4
5	18	1
5	19	3
5	28	3
5	31	2
5	45	2
5	47	2
5	50	4
5	55	4
6	7	1
6	16	3
6	45	1
6	55	3
7	16	5
7	17	1
7	18	5
7	19	7
7	23	2
7	24	1
7	28	1
7	29	2
7	31	1
7	36	1
7	40	1
7	42	1
7	46	1
7	47	3
7	50	2
7	51	1
7	54	1
7	55	19
12	16	1
12	19	1
12	28	1
12	36	1
12	50	1
12	55	1
13	16	3
13	17	1
13	19	2
13	24	1
13	28	1
13	46	1
13	55	5
16	17	1
16	18	4
16	19	18
16	24	1
16	27	1
16	28	6
16	31	5
16	36	8
16	42	6
16	43	1
16	46	1
16	47	1
16	49	2
16	50	11
16	51	1
16	55	28
16	56	5
17	18	1
17	19	4
17	36	2
17	40	1
17	50	1
17	55	6
18	19	3
18	24	1
18	27	1
18	28	1
18	29	1
18	31	2
18	40	1
18	42	1
18	47	2
18	49	1
18	50	2
18	55	5
19	28	5
19	29	2
19	31	10
19	36	7
19	37	1
19	40	1
19	42	3
19	43	1
19	46	1
19	47	4
19	49	2
19	50	11
19	55	41
23	54	1
23	55	4
24	55	6
27	28	3
27	29	1
27	31	2
27	42	1
27	50	1
27	55	5
28	31	4
28	42	1
28	46	1
28	47	2
28	50	6
28	55	8
29	36	1
29	37	1
29	40	1
29	46	1
29	50	1
29	51	1
29	54	1
29	55	2
30	32	1
31	36	2
31	38	1
31	42	4
31	45	1
31	47	2
31	50	2
31	55	14
31	56	1
32	36	1
32	50	1
32	55	1
36	37	1
36	40	1
36	43	2
36	46	2
36	47	1
36	49	1
36	50	2
36	51	2
36	55	59
37	40	2
37	55	3
38	46	1
38	55	1
40	50	1
40	55	2
42	49	1
42	55	5
43	46	1
43	50	2
43	55	5
45	55	2
46	55	13
47	55	3
49	50	2
49	55	3
50	55	7
51	55	7
54	55	1
55	56	1
